ornithorhynchus_anatinus	Ornithorhynchus anatinus	Ornithorhynchus	Ornithorhynchidae	Monotremata	Mammalia	Chordata
hucho_hucho	Hucho hucho	Hucho	Salmonidae	Salmoniformes	Actinopteri	Chordata
nothobranchius_furzeri	Nothobranchius furzeri	Nothobranchius	Nothobranchiidae	Cyprinodontiformes	Actinopteri	Chordata
notechis_scutatus	Notechis scutatus	Notechis	Elapidae	Squamata	Lepidosauria	Chordata
coturnix_japonica	Coturnix japonica	Coturnix	Phasianidae	Galliformes	Aves	Chordata
heterocephalus_glaber_female	Heterocephalus glaber	Heterocephalus	Bathyergidae	Rodentia	Mammalia	Chordata
papio_anubis	Papio anubis	Papio	Cercopithecidae	Primates	Mammalia	Chordata
eptatretus_burgeri	Eptatretus burgeri	Eptatretus	Myxinidae	Myxiniformes	Myxini	Chordata
pavo_cristatus	Pavo cristatus	Pavo	Phasianidae	Galliformes	Aves	Chordata
zalophus_californianus	Zalophus californianus	Zalophus	Otariidae	Carnivora	Mammalia	Chordata
chlorocebus_sabaeus	Chlorocebus sabaeus	Chlorocebus	Cercopithecidae	Primates	Mammalia	Chordata
marmota_marmota_marmota	Marmota marmota marmota	Marmota	Sciuridae	Rodentia	Mammalia	Chordata
canis_lupus_familiaris	Canis lupus familiaris	Canis	Canidae	Carnivora	Mammalia	Chordata
oryzias_latipes_hni	Oryzias latipes	Oryzias	Adrianichthyidae	Beloniformes	Actinopteri	Chordata
ursus_maritimus	Ursus maritimus	Ursus	Ursidae	Carnivora	Mammalia	Chordata
clupea_harengus	Clupea harengus	Clupea	Clupeidae	Clupeiformes	Actinopteri	Chordata
aquila_chrysaetos_chrysaetos	Aquila chrysaetos chrysaetos	Aquila	Accipitridae	Accipitriformes	Aves	Chordata
cavia_aperea	Cavia aperea	Cavia	Caviidae	Rodentia	Mammalia	Chordata
pelodiscus_sinensis	Pelodiscus sinensis	Pelodiscus	Trionychidae	Testudines	NA	Chordata
labrus_bergylta	Labrus bergylta	Labrus	Labridae	Labriformes	Actinopteri	Chordata
colobus_angolensis_palliatus	Colobus angolensis palliatus	Colobus	Cercopithecidae	Primates	Mammalia	Chordata
oncorhynchus_kisutch	Oncorhynchus kisutch	Oncorhynchus	Salmonidae	Salmoniformes	Actinopteri	Chordata
nothoprocta_perdicaria	Nothoprocta perdicaria	Nothoprocta	Tinamidae	Tinamiformes	Aves	Chordata
equus_asinus_asinus	Equus asinus asinus	Equus	Equidae	Perissodactyla	Mammalia	Chordata
oryzias_latipes_hsok	Oryzias latipes	Oryzias	Adrianichthyidae	Beloniformes	Actinopteri	Chordata
monopterus_albus	Monopterus albus	Monopterus	Synbranchidae	Synbranchiformes	Actinopteri	Chordata
echeneis_naucrates	Echeneis naucrates	Echeneis	Echeneidae	Carangiformes	Actinopteri	Chordata
drosophila_melanogaster	Drosophila melanogaster	Drosophila	Drosophilidae	Diptera	Insecta	Arthropoda
bos_grunniens	Bos grunniens	Bos	Bovidae	Artiodactyla	Mammalia	Chordata
manacus_vitellinus	Manacus vitellinus	Manacus	Pipridae	Passeriformes	Aves	Chordata
prolemur_simus	Prolemur simus	Prolemur	Lemuridae	Primates	Mammalia	Chordata
esox_lucius	Esox lucius	Esox	Esocidae	Esociformes	Actinopteri	Chordata
cairina_moschata_domestica	Cairina moschata domestica	Cairina	Anatidae	Anseriformes	Aves	Chordata
chelydra_serpentina	Chelydra serpentina	Chelydra	Chelydridae	Testudines	NA	Chordata
dromaius_novaehollandiae	Dromaius novaehollandiae	Dromaius	Dromaiidae	Casuariiformes	Aves	Chordata
lepidothrix_coronata	Lepidothrix coronata	Lepidothrix	Pipridae	Passeriformes	Aves	Chordata
dasypus_novemcinctus	Dasypus novemcinctus	Dasypus	Dasypodidae	Cingulata	Mammalia	Chordata
ursus_thibetanus_thibetanus	Ursus thibetanus thibetanus	Ursus	Ursidae	Carnivora	Mammalia	Chordata
capra_hircus	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	Chordata
strigops_habroptila	Strigops habroptila	Strigops	Psittacidae	Psittaciformes	Aves	Chordata
castor_canadensis	Castor canadensis	Castor	Castoridae	Rodentia	Mammalia	Chordata
notamacropus_eugenii	Notamacropus eugenii	Notamacropus	Macropodidae	Diprotodontia	Mammalia	Chordata
macaca_nemestrina	Macaca nemestrina	Macaca	Cercopithecidae	Primates	Mammalia	Chordata
pongo_abelii	Pongo abelii	Pongo	Hominidae	Primates	Mammalia	Chordata
sciurus_vulgaris	Sciurus vulgaris	Sciurus	Sciuridae	Rodentia	Mammalia	Chordata
pygocentrus_nattereri	Pygocentrus nattereri	Pygocentrus	Serrasalmidae	Characiformes	Actinopteri	Chordata
aotus_nancymaae	Aotus nancymaae	Aotus	Aotidae	Primates	Mammalia	Chordata
stachyris_ruficeps	Cyanoderma ruficeps	Cyanoderma	Timaliidae	Passeriformes	Aves	Chordata
anabas_testudineus	Anabas testudineus	Anabas	Anabantidae	Anabantiformes	Actinopteri	Chordata
mus_spicilegus	Mus spicilegus	Mus	Muridae	Rodentia	Mammalia	Chordata
cervus_hanglu_yarkandensis	Cervus hanglu yarkandensis	Cervus	Cervidae	Artiodactyla	Mammalia	Chordata
salmo_salar	Salmo salar	Salmo	Salmonidae	Salmoniformes	Actinopteri	Chordata
fukomys_damarensis	Fukomys damarensis	Fukomys	Bathyergidae	Rodentia	Mammalia	Chordata
mastacembelus_armatus	Mastacembelus armatus	Mastacembelus	Mastacembelidae	Synbranchiformes	Actinopteri	Chordata
nannospalax_galili	Nannospalax galili	Nannospalax	Spalacidae	Rodentia	Mammalia	Chordata
sander_lucioperca	Sander lucioperca	Sander	Percidae	Perciformes	Actinopteri	Chordata
zosterops_lateralis_melanops	Zosterops lateralis melanops	Zosterops	Zosteropidae	Passeriformes	Aves	Chordata
larimichthys_crocea	Larimichthys crocea	Larimichthys	Sciaenidae	NA	Actinopteri	Chordata
erythrura_gouldiae	Erythrura gouldiae	Erythrura	Estrildidae	Passeriformes	Aves	Chordata
amazona_collaria	Amazona collaria	Amazona	Psittacidae	Psittaciformes	Aves	Chordata
xenopus_tropicalis	Xenopus tropicalis	Xenopus	Pipidae	Anura	Amphibia	Chordata
athene_cunicularia	Athene cunicularia	Athene	Strigidae	Strigiformes	Aves	Chordata
suricata_suricatta	Suricata suricatta	Suricata	Herpestidae	Carnivora	Mammalia	Chordata
ictidomys_tridecemlineatus	Ictidomys tridecemlineatus	Ictidomys	Sciuridae	Rodentia	Mammalia	Chordata
cricetulus_griseus_picr	Cricetulus griseus	Cricetulus	Cricetidae	Rodentia	Mammalia	Chordata
urocitellus_parryii	Urocitellus parryii	Urocitellus	Sciuridae	Rodentia	Mammalia	Chordata
loxodonta_africana	Loxodonta africana	Loxodonta	Elephantidae	Proboscidea	Mammalia	Chordata
mustela_putorius_furo	Mustela putorius furo	Mustela	Mustelidae	Carnivora	Mammalia	Chordata
microcebus_murinus	Microcebus murinus	Microcebus	Cheirogaleidae	Primates	Mammalia	Chordata
propithecus_coquereli	Propithecus coquereli	Propithecus	Indriidae	Primates	Mammalia	Chordata
gopherus_evgoodei	Gopherus evgoodei	Gopherus	Testudinidae	Testudines	NA	Chordata
paramormyrops_kingsleyae	Paramormyrops kingsleyae	Paramormyrops	Mormyridae	Osteoglossiformes	Actinopteri	Chordata
seriola_dumerili	Seriola dumerili	Seriola	Carangidae	Carangiformes	Actinopteri	Chordata
serinus_canaria	Serinus canaria	Serinus	Fringillidae	Passeriformes	Aves	Chordata
equus_caballus	Equus caballus	Equus	Equidae	Perissodactyla	Mammalia	Chordata
mola_mola	Mola mola	Mola	Molidae	Tetraodontiformes	Actinopteri	Chordata
latimeria_chalumnae	Latimeria chalumnae	Latimeria	Coelacanthidae	Coelacanthiformes	Coelacanthimorpha	Chordata
amphilophus_citrinellus	Amphilophus citrinellus	Amphilophus	Cichlidae	Cichliformes	Actinopteri	Chordata
balaenoptera_musculus	Balaenoptera musculus	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	Chordata
oreochromis_aureus	Oreochromis aureus	Oreochromis	Cichlidae	Cichliformes	Actinopteri	Chordata
cyanistes_caeruleus	Cyanistes caeruleus	Cyanistes	Paridae	Passeriformes	Aves	Chordata
saimiri_boliviensis_boliviensis	Saimiri boliviensis boliviensis	Saimiri	Cebidae	Primates	Mammalia	Chordata
lonchura_striata_domestica	Lonchura striata domestica	Lonchura	Estrildidae	Passeriformes	Aves	Chordata
electrophorus_electricus	Electrophorus electricus	Electrophorus	Gymnotidae	Gymnotiformes	Actinopteri	Chordata
nomascus_leucogenys	Nomascus leucogenys	Nomascus	Hylobatidae	Primates	Mammalia	Chordata
poecilia_formosa	Poecilia formosa	Poecilia	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata
ailuropoda_melanoleuca	Ailuropoda melanoleuca	Ailuropoda	Ursidae	Carnivora	Mammalia	Chordata
felis_catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata
phascolarctos_cinereus	Phascolarctos cinereus	Phascolarctos	Phascolarctidae	Diprotodontia	Mammalia	Chordata
neovison_vison	Neovison vison	Neovison	Mustelidae	Carnivora	Mammalia	Chordata
callithrix_jacchus	Callithrix jacchus	Callithrix	Cebidae	Primates	Mammalia	Chordata
jaculus_jaculus	Jaculus jaculus	Jaculus	Dipodidae	Rodentia	Mammalia	Chordata
sus_scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata
cricetulus_griseus_crigri	Cricetulus griseus	Cricetulus	Cricetidae	Rodentia	Mammalia	Chordata
sphaeramia_orbicularis	Sphaeramia orbicularis	Sphaeramia	Apogonidae	Kurtiformes	Actinopteri	Chordata
betta_splendens	Betta splendens	Betta	Osphronemidae	Anabantiformes	Actinopteri	Chordata
canis_lupus_familiarisbasenji	Canis lupus familiaris	Canis	Canidae	Carnivora	Mammalia	Chordata
pelusios_castaneus	Pelusios castaneus	Pelusios	Pelomedusidae	Testudines	NA	Chordata
oryzias_melastigma	Oryzias melastigma	Oryzias	Adrianichthyidae	Beloniformes	Actinopteri	Chordata
seriola_lalandi_dorsalis	Seriola lalandi dorsalis	Seriola	Carangidae	Carangiformes	Actinopteri	Chordata
poecilia_reticulata	Poecilia reticulata	Poecilia	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata
salmo_trutta	Salmo trutta	Salmo	Salmonidae	Salmoniformes	Actinopteri	Chordata
anser_brachyrhynchus	Anser brachyrhynchus	Anser	Anatidae	Anseriformes	Aves	Chordata
meriones_unguiculatus	Meriones unguiculatus	Meriones	Muridae	Rodentia	Mammalia	Chordata
bubo_bubo	Bubo bubo	Bubo	Strigidae	Strigiformes	Aves	Chordata
neogobius_melanostomus	Neogobius melanostomus	Neogobius	Gobiidae	Gobiiformes	Actinopteri	Chordata
poecilia_latipinna	Poecilia latipinna	Poecilia	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata
moschus_moschiferus	Moschus moschiferus	Moschus	Moschidae	Artiodactyla	Mammalia	Chordata
cavia_porcellus	Cavia porcellus	Cavia	Caviidae	Rodentia	Mammalia	Chordata
gallus_gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata
neolamprologus_brichardi	Neolamprologus brichardi	Neolamprologus	Cichlidae	Cichliformes	Actinopteri	Chordata
astatotilapia_calliptera	Astatotilapia calliptera	Astatotilapia	Cichlidae	Cichliformes	Actinopteri	Chordata
mus_musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata
falco_tinnunculus	Falco tinnunculus	Falco	Falconidae	Falconiformes	Aves	Chordata
capra_hircus_blackbengal	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	Chordata
ochotona_princeps	Ochotona princeps	Ochotona	Ochotonidae	Lagomorpha	Mammalia	Chordata
homo_sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata
leptobrachium_leishanense	Leptobrachium leishanense	Leptobrachium	Megophryidae	Anura	Amphibia	Chordata
sarcophilus_harrisii	Sarcophilus harrisii	Sarcophilus	Dasyuridae	Dasyuromorphia	Mammalia	Chordata
erpetoichthys_calabaricus	Erpetoichthys calabaricus	Erpetoichthys	Polypteridae	Polypteriformes	Cladistia	Chordata
bos_indicus_hybrid	Bos indicus x Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata
pogona_vitticeps	Pogona vitticeps	Pogona	Agamidae	Squamata	Lepidosauria	Chordata
tupaia_belangeri	Tupaia belangeri	Tupaia	Tupaiidae	Scandentia	Mammalia	Chordata
gambusia_affinis	Gambusia affinis	Gambusia	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata
varanus_komodoensis	Varanus komodoensis	Varanus	Varanidae	Squamata	Lepidosauria	Chordata
cyprinus_carpio_huanghe	Cyprinus carpio	Cyprinus	Cyprinidae	Cypriniformes	Actinopteri	Chordata
calidris_pygmaea	Calidris pygmaea	Calidris	Scolopacidae	Charadriiformes	Aves	Chordata
scleropages_formosus	Scleropages formosus	Scleropages	Osteoglossidae	Osteoglossiformes	Actinopteri	Chordata
chrysemys_picta_bellii	Chrysemys picta bellii	Chrysemys	Emydidae	Testudines	NA	Chordata
mandrillus_leucophaeus	Mandrillus leucophaeus	Mandrillus	Cercopithecidae	Primates	Mammalia	Chordata
vulpes_vulpes	Vulpes vulpes	Vulpes	Canidae	Carnivora	Mammalia	Chordata
carassius_auratus	Carassius auratus	Carassius	Cyprinidae	Cypriniformes	Actinopteri	Chordata
ovis_aries	Ovis aries	Ovis	Bovidae	Artiodactyla	Mammalia	Chordata
